PTC data R22_S11_C06
Exposure pair 			 Mean 	 Variance 	 Exposure Time (sec) 	 Monitor Diode (Coulombs)
[3021120600588, 3021120600589] 	 38.01651846787259 	 42.89111565404604 	 1.09806 	  6.800285925000004e-11 
[3021120600639, 3021120600640] 	 45.61192108641755 	 48.44065454516604 	 1.31767 	  8.133780925000003e-11 
[3021120600711, 3021120600712] 	 54.63244091761201 	 52.19100210818918 	 1.5812 	  9.730589000000002e-11 
[3021120600774, 3021120600775] 	 65.05167351344605 	 58.882877654314264 	 1.88866 	  1.1589703975000007e-10 
[3021120600612, 3021120600613] 	 75.12557659584817 	 66.06294932470902 	 2.19611 	  1.3428106775000004e-10 
[3021120600675, 3021120600676] 	 76.77417482729963 	 67.08508091366483 	 2.24004 	  1.3697410975000012e-10 
[3021120700107, 3021120700108] 	 79.08055117468305 	 68.88455480714259 	 2.30592 	  1.4097451125000015e-10 
[3021120600576, 3021120600577] 	 79.65668067453709 	 69.30720370551973 	 2.34984 	  1.4232775400000015e-10 
[3021120600657, 3021120600658] 	 82.54874230414663 	 71.2263653761254 	 2.41572 	  1.4759351450000003e-10 
[3021120600621, 3021120600622] 	 84.79106721343743 	 73.02874242972965 	 2.48161 	  1.5138884000000016e-10 
[3021120600729, 3021120600730] 	 86.41149359225433 	 74.06111668688521 	 2.52553 	  1.5422763125000017e-10 
[3021120700137, 3021120700138] 	 88.69835078510624 	 76.18969759451488 	 2.59141 	  1.582578005000003e-10 
[3021120600582, 3021120600583] 	 90.51652496078793 	 77.32198814643233 	 2.6573 	  1.6190821175000016e-10 
[3021120600777, 3021120600778] 	 93.07450834665696 	 79.27158069673068 	 2.72318 	  1.6620478775000028e-10 
[3021120600603, 3021120600604] 	 95.03881373632969 	 81.01224314022603 	 2.78906 	  1.6984413525000024e-10 
[3021120600762, 3021120600763] 	 97.46595500774352 	 82.87083090264167 	 2.85495 	  1.741321942500002e-10 
[3021120600606, 3021120600607] 	 99.57197370621174 	 84.80093420279846 	 2.92083 	  1.777879912500003e-10 
[3021120600753, 3021120600754] 	 101.92534586201319 	 86.6264269070539 	 2.98671 	  1.8207797075000025e-10 
[3021120600759, 3021120600760] 	 104.8960380947004 	 88.40978663790672 	 3.07456 	  1.8715919625000038e-10 
[3021120600738, 3021120600739] 	 107.13166381610147 	 90.22343549785195 	 3.14044 	  1.913086452500003e-10 
[3021120600627, 3021120600628] 	 109.32605789085736 	 91.49479462548088 	 3.20632 	  1.9508902425000035e-10 
[3021120700140, 3021120700141] 	 112.391058771003 	 93.19919751641456 	 3.29417 	  2.0058549525000047e-10 
[3021120600594, 3021120600595] 	 114.30670442618546 	 94.68494743075246 	 3.36005 	  2.0419703725000044e-10 
[3021120700068, 3021120700069] 	 117.59010135531554 	 96.65081686813726 	 3.4479 	  2.0989503550000036e-10 
[3021120700110, 3021120700111] 	 120.5873941708883 	 98.3859122484999 	 3.53574 	  2.151532392500004e-10 
[3021120600618, 3021120600619] 	 123.23010549511434 	 100.51787754808544 	 3.62359 	  2.2018156750000037e-10 
[3021120700149, 3021120700150] 	 126.44916070015137 	 102.2578307716439 	 3.71143 	  2.256762015000005e-10 
[3021120600630, 3021120600631] 	 129.17794238668012 	 104.55273788305755 	 3.79928 	  2.3079658850000037e-10 
[3021120700089, 3021120700090] 	 132.26847286024616 	 106.95791298874754 	 3.88712 	  2.362310607500004e-10 
[3021120700050, 3021120700051] 	 135.36913212347366 	 109.57802695033641 	 3.97496 	  2.417454007500006e-10 
[3021120700059, 3021120700060] 	 138.88493781260985 	 112.41038522131134 	 4.08477 	  2.4802401625000053e-10 
[3021120700158, 3021120700159] 	 142.0523538758867 	 115.63359679059496 	 4.17261 	  2.536409777500005e-10 
[3021120700113, 3021120700114] 	 145.68401715087293 	 118.58173140549583 	 4.28242 	  2.601111422500005e-10 
[3021120600705, 3021120600706] 	 148.539701426452 	 121.00728019783304 	 4.37026 	  2.653176177500005e-10 
[3021120700071, 3021120700072] 	 152.40161782836412 	 124.5234309411367 	 4.48007 	  2.719379570000006e-10 
[3021120600744, 3021120600745] 	 156.06053534125434 	 127.22733929437983 	 4.58988 	  2.7863094125000044e-10 
[3021120700080, 3021120700081] 	 159.7868549329355 	 129.7938274254733 	 4.69968 	  2.8526455700000054e-10 
[3021120700008, 3021120700009] 	 163.50132950131456 	 131.6348765311824 	 4.80949 	  2.917312562500007e-10 
[3021120700134, 3021120700135] 	 167.2320264512192 	 133.530776412002 	 4.91929 	  2.984285407500005e-10 
[3021120700116, 3021120700117] 	 171.65819207088452 	 135.57158196300804 	 5.05106 	  3.063649235000008e-10 
[3021120700077, 3021120700078] 	 175.324034857108 	 137.33687351430007 	 5.16087 	  3.131047930000007e-10 
[3021120700056, 3021120700057] 	 179.73297675492134 	 139.9234375673342 	 5.29263 	  3.2096832200000075e-10 
[3021120700086, 3021120700087] 	 184.02167528886045 	 142.6456970208917 	 5.4244 	  3.287729417500006e-10 
[3021120700167, 3021120700168] 	 188.60911974430564 	 145.64336801116923 	 5.55617 	  3.368229262500009e-10 
[3021120700026, 3021120700027] 	 193.01494590073816 	 148.68720428485545 	 5.68793 	  3.4476916200000094e-10 
[3021120600648, 3021120600649] 	 197.07802907816725 	 151.53889954397857 	 5.8197 	  3.524625597500006e-10 
[3021120600765, 3021120600766] 	 202.3398458406783 	 155.38787774667736 	 5.97343 	  3.6179589750000083e-10 
[3021120600663, 3021120600664] 	 206.7071836663513 	 158.96876479431043 	 6.10519 	  3.695868650000007e-10 
